LR,ANGLE,loss,accuracy,train_time_s
0.005,0,0.05,98.20,297
0.005,5,0.07,98.54,298
0.005,10,0.12,98.51,302
0.005,20,0.11,97.29,296
0.005,40,0.25,95.76,301
0.01,0,0.06,97.75,295
0.01,5,0.06,98.49,305
0.01,10,0.12,98.13,289
0.01,20,0.14,96.85,288
0.01,40,0.26,96.00,288
0.02,0,0.03,98.28,289
0.02,5,0.07,98.21,289
0.02,10,0.12,97.82,288
0.02,20,0.15,95.25,288
0.02,40,0.32,96.74,288
0.05,0,0.08,97.75,288
0.05,5,0.07,98.10,290
0.05,10,0.09,98.67,290
0.05,20,0.13,93.86,289
0.05,40,0.25,95.25,290
0.1,0,0.06,98.31,289
0.1,5,0.11,97.81,289
0.1,10,0.14,98.11,292
0.1,20,0.15,96.82,292
0.1,40,0.22,96.14,290
